LEA,AWARD,SCHOOL,PROJECT,ENOUGH ACT School ,ObjectID,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR
Prince George's County Board of Education,"$71,791",Calverton Elementary School,LEDs,Yes,41041,24,3400 Beltsville Rd,Beltsville,MD,20705,24,24033,Prince George's County,21,39.0557,-76.9344,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2404,24021,24021,2022-2023
Baltimore City Public Schools,"$2,700,000",City Springs Elementary/Middle School #8,NZE,Yes,40109,24,100 S Caroline Street,Baltimore,MD,21231,24,24510,Baltimore city,11,39.2896,-76.5974,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2407,24046,24046,2022-2023
Baltimore City Public Schools,"$1,000,000",Furley Elementary,Solar,Yes,40129,24,5001 Sinclair Lane,Baltimore,MD,21206,24,24510,Baltimore city,11,39.32049,-76.5461,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2402,24045,24045,2022-2023
Baltimore City Public Schools,"$1,752,350",Furman Templeton Preparatory Academy,Heating Electrification,Yes,40130,24,1200 Pennsylvania Avenue,Baltimore,MD,21217,24,24510,Baltimore city,11,39.2997,-76.6304,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2407,24040,24040,2022-2023
Prince George's County Board of Education,"$2,111,983",Robert Frost Elementary,NZE,Yes,41133,24,6419 85th Ave,New Carrollton,MD,20784,24,24033,Prince George's County,21,38.97607,-76.8753,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2405,24022,24022,2022-2023
Prince George's County Board of Education,"$639,451",Templeton Elementary,NZE,Yes,41145,24,6001 Carters Ln,Riverdale,MD,20737,24,24033,Prince George's County,21,38.95251,-76.9146,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2404,2447A,24047,2022-2023
Montgomery County Board of Education,"$1,285,000",Burtonsville Elementary,NZE,,40827,24,15516 Old Columbia Pike,Burtonsville,MD,20866,24,24031,Montgomery County,41,39.1114,-76.9364,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2403,24014,24014,2022-2023
Board of Education of Anne Arundel County,"$1,500,000.00",Carrie Weedon Early Education Center,Heating Electrification,,40083,24,911 Galesville Road,Galesville,MD,20765,24,24003,Anne Arundel County,31,38.84527,-76.5505,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2405,2430B,24030,2022-2023
Board of Education of Somerset County,"$77,573",Carter G Woodson Elementary,LEDs,,41241,24,281a Woodson School Rd,Crisfield,MD,21817,24,24039,Somerset County,32,37.97467,-75.8494,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2438A,24038,2022-2023
Board of Education of Harford County,"$83,000",Churchville Elementary School,LEDs,,40675,24,2935 Level Rd,Churchville,MD,21028,24,24025,Harford County,41,39.56121,-76.2452,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2401,2435B,24035,2022-2023
Board of Education of Anne Arundel County,"$329,389.00",Corkran Middle School,LEDs,,39984,24,7600 Quarterfield Rd,Glen Burnie,MD,21061,24,24003,Anne Arundel County,21,39.15501,-76.6336,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2403,24032,24032,2022-2023
Board of Education of Somerset County,"$77,573",Crisfield Academy and High School,LEDs,,41236,24,210 N Somerset Avenue,Crisfield,MD,21817,24,24039,Somerset County,32,37.98689,-75.8437,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2438A,24038,2022-2023
Board of Education of Somerset County,"$77,573",Deal Island (Elementary) School,LEDs,,41237,24,23275 Lola Wheatley Rd,Deal Island,MD,21821,24,24039,Somerset County,42,38.1569,-75.9472,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2438A,24038,2022-2023
Wicomico County Board of Education,"$50,000",East Salisbury Elementary,Solar (TA),,41331,24,1201 Old Ocean City Rd,Salisbury,MD,21804,24,24045,Wicomico County,13,38.3742,-75.5747,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2437A,24037,2022-2023
Board of Education of Harford County,"$83,000",Fountain Green Elementary School,LEDs,,40665,24,517 Fountain Green Rd,Bel Air,MD,21015,24,24025,Harford County,22,39.54088,-76.3042,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2401,2435B,24035,2022-2023
Wicomico County Board of Education,"$2,044,210",Fruitland Primary School,NZE,,41327,24,301 N Division St,Fruitland,MD,21826,24,24045,Wicomico County,23,38.3194,-75.6116,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2438B,24038,2022-2023
Kent County Public Schools,"$145,415",Galena Elementary School,LEDs,,40801,24,114 S Main Street,Galena,MD,21635,24,24029,Kent County,42,39.33853,-75.8781,N,N,0,N,N,N,N,2401,24036,24036,2022-2023
Board of Education of Somerset County,"$77,573",Greenwood Elementary School,LEDs,,41243,24,11412 Dryden Road,Princess Anne,MD,21853,24,24039,Somerset County,31,38.19426,-75.6949,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2438A,24038,2022-2023
Kent County Public Schools,"$145,415",H.H. Garnett Elementary School,LEDs,,40797,24,320 Calvert St,Chestertown,MD,21620,24,24029,Kent County,32,39.21314,-76.0704,N,N,0,N,N,N,N,2401,24036,24036,2022-2023
Kent County Public Schools,"$145,415",KCPS Administration Building,LEDs,,0,,5608 Boundary Ave,Rock Hall,MD,21661,24,,,,39.13361615,-76.23038486,,,,,,,,,,,
Kent County Public Schools,"$50,000",Kent County High School,Solar (TA),,40799,24,25301 Lambs Meadow Rd,Worton,MD,21678,24,24029,Kent County,42,39.28533,-76.0917,N,N,0,N,N,N,N,2401,24036,24036,2022-2023
Prince George's County Board of Education,"$634,459",Margaret Brent Elementary (Margaret Brent Regional Center),NZE,,41171,24,5816 Lamont Ter,New Carrollton,MD,20784,24,24033,Prince George's County,21,38.9643,-76.8822,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2405,24022,24022,2022-2023
Board of Education of Anne Arundel County,"$2,010,154",Old Middle School North,NZE,,40029,24,610 Patriot Ln,Millersville,MD,21108,24,24003,Anne Arundel County,21,39.12388,-76.627,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2403,24032,24032,2022-2023
Board of Education of Somerset County,"$77,573",Princess Anne Primary,LEDs,,41242,24,11576 Lankford Street,Princess Anne,MD,21853,24,24039,Somerset County,31,38.199,-75.6953,41540,"Salisbury, MD-DE",1,480,"Salisbury-Cambridge, MD-DE",N,N,2401,2438A,24038,2022-2023
Board of Education of Anne Arundel County,"$750,000",Quarterfield Elementary,Solar,,40038,24,7967 Quarterfield Rd,Severn,MD,21144,24,24003,Anne Arundel County,21,39.1343,-76.6546,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2403,24032,24032,2022-2023
Board of Education of Anne Arundel County,"$750,000",Rippling Woods Elementary,Solar,,40041,24,530 Nolfield Dr,Glen Burnie,MD,21061,24,24003,Anne Arundel County,21,39.1285,-76.6285,12580,"Baltimore-Columbia-Towson, MD",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,2403,24032,24032,2022-2023
